ticker,driver,identified_cost_usd,all_in_reserve_cost_usd,share_of_all_in_reserve_cost_pct,observed_years,window_years,identification_status,roic_effect_allocated,allocation_reason
CNX,DEVELOPMENT_CAPITAL,2489928000.0,3268203000.0,76.18645475816527,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
CNX,EXPLORATION_AND_DRY_HOLE_SCOPE,53290000.0,3268203000.0,1.6305596684171701,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
CNX,PROVED_PROPERTY_ACQUISITION,599031000.0,3268203000.0,18.329063402732327,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
CNX,UNPROVED_LEASEHOLD_ACQUISITION,125954000.0,3268203000.0,3.853922170685236,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
CNX,LEASEHOLD_AND_ACREAGE_OUTSIDE_REPORTED_ACQUISITION_SCOPE,,3268203000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
CNX,SHARED_INFRASTRUCTURE,,3268203000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
CNX,CORPORATE_OVERHEAD,,3268203000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
CNX,ACQUISITION_PREMIUM_AND_PURCHASE_ACCOUNTING,,3268203000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
CNX,MAINTENANCE_AND_RESERVE_REPLACEMENT_TIMING,,3268203000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
CNX,IMPAIRMENTS_AND_EARNINGS_TIMING,,3268203000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
FANG,DEVELOPMENT_CAPITAL,9649000000.0,70384000000.0,13.709081609456694,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
FANG,EXPLORATION_AND_DRY_HOLE_SCOPE,4095000000.0,70384000000.0,5.818083655376221,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
FANG,PROVED_PROPERTY_ACQUISITION,30780000000.0,70384000000.0,43.731529893157536,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
FANG,UNPROVED_LEASEHOLD_ACQUISITION,25860000000.0,70384000000.0,36.74130484200955,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
FANG,LEASEHOLD_AND_ACREAGE_OUTSIDE_REPORTED_ACQUISITION_SCOPE,,70384000000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
FANG,SHARED_INFRASTRUCTURE,,70384000000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
FANG,CORPORATE_OVERHEAD,,70384000000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
FANG,ACQUISITION_PREMIUM_AND_PURCHASE_ACCOUNTING,,70384000000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
FANG,MAINTENANCE_AND_RESERVE_REPLACEMENT_TIMING,,70384000000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
FANG,IMPAIRMENTS_AND_EARNINGS_TIMING,,70384000000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
