segment,filing_date,source_url,source_path,source_sha256,period,fiscal_year,fiscal_quarter,sales_usd,segment_profit_usd,comparable_prior_sales_usd,comparable_prior_segment_profit_usd,operating_cost_usd,comparable_prior_operating_cost_usd,segment_margin_pct
resource,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2022,2,2961000000.0,355000000.0,2547000000.0,349000000.0,2606000000.0,2198000000.0,11.98919284025667
construction,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2022,3,6276000000.0,1209000000.0,5255000000.0,866000000.0,5067000000.0,4389000000.0,19.263862332695986
mpe,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2022,3,14278000000.0,2285000000.0,11707000000.0,1571000000.0,11993000000.0,10136000000.0,16.003641966661995
power_energy,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2022,3,6186000000.0,935000000.0,5077000000.0,706000000.0,5251000000.0,4371000000.0,15.1147752990624
resource,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2022,3,3087000000.0,506000000.0,2366000000.0,280000000.0,2581000000.0,2086000000.0,16.391318432134756
construction,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2022,4,6845000000.0,1488000000.0,5736000000.0,795000000.0,5357000000.0,4941000000.0,21.738495252008764
mpe,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2022,4,15871000000.0,1629000000.0,13097000000.0,1475000000.0,14242000000.0,11622000000.0,10.264003528448113
power_energy,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2022,4,6823000000.0,1177000000.0,5728000000.0,685000000.0,5646000000.0,5043000000.0,17.250476330060092
resource,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2022,4,3436000000.0,605000000.0,2719000000.0,288000000.0,2831000000.0,2431000000.0,17.60768335273574
construction,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2023,1,6746000000.0,1790000000.0,6115000000.0,1057000000.0,4956000000.0,5058000000.0,26.53424251408242
mpe,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2023,1,15099000000.0,2614000000.0,12886000000.0,1715000000.0,12485000000.0,11171000000.0,17.312404795019535
power_energy,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2023,1,6254000000.0,1057000000.0,5038000000.0,538000000.0,5197000000.0,4500000000.0,16.901183242724656
resource,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2023,1,3427000000.0,764000000.0,2830000000.0,361000000.0,2663000000.0,2469000000.0,22.293551210971696
construction,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2023,2,7154000000.0,1803000000.0,6033000000.0,989000000.0,5351000000.0,5044000000.0,25.202683813251326
mpe,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2023,2,16545000000.0,3550000000.0,13539000000.0,1804000000.0,12995000000.0,11735000000.0,21.456633423995164
power_energy,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2023,2,7219000000.0,1269000000.0,5705000000.0,659000000.0,5950000000.0,5046000000.0,17.578611996121346
resource,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2023,2,3563000000.0,740000000.0,2961000000.0,355000000.0,2823000000.0,2606000000.0,20.76901487510525
construction,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2023,3,6999000000.0,1847000000.0,6276000000.0,1209000000.0,5152000000.0,5067000000.0,26.38948421203029
mpe,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2023,3,15988000000.0,3393000000.0,14278000000.0,2285000000.0,12595000000.0,11993000000.0,21.22216662496873
power_energy,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2023,3,6859000000.0,1181000000.0,6186000000.0,935000000.0,5678000000.0,5251000000.0,17.218253389706955
resource,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2023,3,3351000000.0,730000000.0,3087000000.0,506000000.0,2621000000.0,2581000000.0,21.78454192778275
construction,2024-02-05,https://www.sec.gov/Archives/edgar/data/18230/000001823024000005/cat_exx991x4qx2023xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-02-05_0000018230-24-000005_EX-99.1_cat_exx991x4qx2023xearning.htm,55054c63462cad2ff82c7a3c589e364c901566db0588b0a96b1c6fed01c1c513,2023Q4,2023,4,6519000000.0,1535000000.0,6845000000.0,1488000000.0,4984000000.0,5357000000.0,23.546556220279182
mpe,2024-02-05,https://www.sec.gov/Archives/edgar/data/18230/000001823024000005/cat_exx991x4qx2023xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-02-05_0000018230-24-000005_EX-99.1_cat_exx991x4qx2023xearning.htm,55054c63462cad2ff82c7a3c589e364c901566db0588b0a96b1c6fed01c1c513,2023Q4,2023,4,16237000000.0,3102000000.0,15871000000.0,1629000000.0,13135000000.0,14242000000.0,19.104514380735356
power_energy,2024-02-05,https://www.sec.gov/Archives/edgar/data/18230/000001823024000005/cat_exx991x4qx2023xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-02-05_0000018230-24-000005_EX-99.1_cat_exx991x4qx2023xearning.htm,55054c63462cad2ff82c7a3c589e364c901566db0588b0a96b1c6fed01c1c513,2023Q4,2023,4,7669000000.0,1429000000.0,6823000000.0,1177000000.0,6240000000.0,5646000000.0,18.63345938192724
resource,2024-02-05,https://www.sec.gov/Archives/edgar/data/18230/000001823024000005/cat_exx991x4qx2023xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-02-05_0000018230-24-000005_EX-99.1_cat_exx991x4qx2023xearning.htm,55054c63462cad2ff82c7a3c589e364c901566db0588b0a96b1c6fed01c1c513,2023Q4,2023,4,3242000000.0,600000000.0,3436000000.0,605000000.0,2642000000.0,2831000000.0,18.507094386181368
construction,2024-04-25,https://www.sec.gov/Archives/edgar/data/18230/000001823024000016/ex991toformcat1q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-04-25_0000018230-24-000016_EX-99.1_ex991toformcat1q2024earnin.htm,f8c29528b8aadd91965ff51b176f5291e2a21b87daaa1e2a23ffc74e92572f2a,2024Q1,2024,1,6424000000.0,1764000000.0,6746000000.0,1790000000.0,4660000000.0,4956000000.0,27.45952677459527
mpe,2024-04-25,https://www.sec.gov/Archives/edgar/data/18230/000001823024000016/ex991toformcat1q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-04-25_0000018230-24-000016_EX-99.1_ex991toformcat1q2024earnin.htm,f8c29528b8aadd91965ff51b176f5291e2a21b87daaa1e2a23ffc74e92572f2a,2024Q1,2024,1,14960000000.0,3404000000.0,15099000000.0,2614000000.0,11556000000.0,12485000000.0,22.754010695187166
power_energy,2024-04-25,https://www.sec.gov/Archives/edgar/data/18230/000001823024000016/ex991toformcat1q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-04-25_0000018230-24-000016_EX-99.1_ex991toformcat1q2024earnin.htm,f8c29528b8aadd91965ff51b176f5291e2a21b87daaa1e2a23ffc74e92572f2a,2024Q1,2024,1,6681000000.0,1301000000.0,6254000000.0,1057000000.0,5380000000.0,5197000000.0,19.473132764556205
resource,2024-04-25,https://www.sec.gov/Archives/edgar/data/18230/000001823024000016/ex991toformcat1q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-04-25_0000018230-24-000016_EX-99.1_ex991toformcat1q2024earnin.htm,f8c29528b8aadd91965ff51b176f5291e2a21b87daaa1e2a23ffc74e92572f2a,2024Q1,2024,1,3193000000.0,730000000.0,3427000000.0,764000000.0,2463000000.0,2663000000.0,22.862511744440965
