segment,filing_date,source_url,source_path,source_sha256,filing_period,referenced_period,metric,repeated_value_usd,original_value_usd,difference_usd,exact_match,comparison_status
resource,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,sales_usd,2178000000.0,2216000000.0,-38000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,segment_profit_usd,312000000.0,328000000.0,-16000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
power_energy,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,sales_usd,4507000000.0,4507000000.0,0.0,True,EXACT
power_energy,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,segment_profit_usd,675000000.0,666000000.0,9000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
mpe,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,sales_usd,11191000000.0,11191000000.0,0.0,True,EXACT
mpe,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,segment_profit_usd,1664000000.0,1664000000.0,0.0,True,EXACT
construction,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,sales_usd,5656000000.0,5656000000.0,0.0,True,EXACT
construction,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,segment_profit_usd,1029000000.0,1024000000.0,5000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,sales_usd,2547000000.0,2579000000.0,-32000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,segment_profit_usd,349000000.0,361000000.0,-12000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
power_energy,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,sales_usd,4975000000.0,4975000000.0,0.0,True,EXACT
power_energy,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,segment_profit_usd,738000000.0,731000000.0,7000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
mpe,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,sales_usd,12193000000.0,12193000000.0,0.0,True,EXACT
mpe,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2021Q2,segment_profit_usd,1653000000.0,1653000000.0,0.0,True,EXACT
construction,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,sales_usd,5255000000.0,5255000000.0,0.0,True,EXACT
construction,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,segment_profit_usd,866000000.0,859000000.0,7000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,sales_usd,2366000000.0,2406000000.0,-40000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,segment_profit_usd,280000000.0,297000000.0,-17000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
power_energy,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,sales_usd,5077000000.0,5077000000.0,0.0,True,EXACT
power_energy,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,segment_profit_usd,706000000.0,696000000.0,10000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
mpe,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,sales_usd,11707000000.0,11707000000.0,0.0,True,EXACT
mpe,2022-10-27,https://www.sec.gov/Archives/edgar/data/18230/000001823022000216/ex991toformcat3q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-10-27_0000018230-22-000216_EX-99.1_ex991toformcat3q2022earnin.htm,e146e56202eb27f25a3a786b1f10177bc4637423eb342919ea33e2687590b6b4,2022Q3,2021Q3,segment_profit_usd,1571000000.0,1571000000.0,0.0,True,EXACT
construction,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,sales_usd,5736000000.0,5736000000.0,0.0,True,EXACT
construction,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,segment_profit_usd,795000000.0,788000000.0,7000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,sales_usd,2719000000.0,2762000000.0,-43000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
resource,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,segment_profit_usd,288000000.0,305000000.0,-17000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
power_energy,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,sales_usd,5728000000.0,5728000000.0,0.0,True,EXACT
power_energy,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,segment_profit_usd,685000000.0,675000000.0,10000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
mpe,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,sales_usd,13097000000.0,13097000000.0,0.0,True,EXACT
mpe,2023-01-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000005/cat_exx991x4qx2022xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-01-31_0000018230-23-000005_EX-99.1_cat_exx991x4qx2022xearning.htm,c839af4973947ac020509951a9b6566037bdae2c25589a9ed2c4f46c0b9a26fd,2022Q4,2021Q4,segment_profit_usd,1475000000.0,1475000000.0,0.0,True,EXACT
construction,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,sales_usd,6115000000.0,6115000000.0,0.0,True,EXACT
construction,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,segment_profit_usd,1057000000.0,1057000000.0,0.0,True,EXACT
resource,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,sales_usd,2830000000.0,2830000000.0,0.0,True,EXACT
resource,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,segment_profit_usd,361000000.0,361000000.0,0.0,True,EXACT
power_energy,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,sales_usd,5038000000.0,5038000000.0,0.0,True,EXACT
power_energy,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,segment_profit_usd,538000000.0,538000000.0,0.0,True,EXACT
mpe,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,sales_usd,12886000000.0,12886000000.0,0.0,True,EXACT
mpe,2023-04-27,https://www.sec.gov/Archives/edgar/data/18230/000001823023000017/ex991toformcat1q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-04-27_0000018230-23-000017_EX-99.1_ex991toformcat1q2023earnin.htm,06dde24d9dfa205da3f2e76bd5f780f8b33ca55dbc5a2e9dc4244ce297158489,2023Q1,2022Q1,segment_profit_usd,1715000000.0,1715000000.0,0.0,True,EXACT
construction,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,sales_usd,6033000000.0,6033000000.0,0.0,True,EXACT
construction,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,segment_profit_usd,989000000.0,989000000.0,0.0,True,EXACT
resource,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,sales_usd,2961000000.0,2961000000.0,0.0,True,EXACT
resource,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,segment_profit_usd,355000000.0,355000000.0,0.0,True,EXACT
power_energy,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,sales_usd,5705000000.0,5705000000.0,0.0,True,EXACT
power_energy,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,segment_profit_usd,659000000.0,659000000.0,0.0,True,EXACT
mpe,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,sales_usd,13539000000.0,13539000000.0,0.0,True,EXACT
mpe,2023-08-01,https://www.sec.gov/Archives/edgar/data/18230/000001823023000044/ex991toformcat2q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-08-01_0000018230-23-000044_EX-99.1_ex991toformcat2q2023earnin.htm,6e38cb47a4b994e94b7b40fd1e730a33b2c21d1af6cf7fbb13d939c5f17dc20c,2023Q2,2022Q2,segment_profit_usd,1804000000.0,1804000000.0,0.0,True,EXACT
construction,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2022Q3,sales_usd,6276000000.0,6276000000.0,0.0,True,EXACT
construction,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2022Q3,segment_profit_usd,1209000000.0,1209000000.0,0.0,True,EXACT
resource,2023-10-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000054/ex991toformcat3q2023earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2023-10-31_0000018230-23-000054_EX-99.1_ex991toformcat3q2023earnin.htm,78a7aa281404d3f76b7466dc1941991551e544109ec60bf31bf9c61fb9da1e2f,2023Q3,2022Q3,sales_usd,3087000000.0,3087000000.0,0.0,True,EXACT
